BuildingName,BuildingAddress,BuildingType,BuildingSize,PublicSector,YearObtainedTOP_CSC,GreenMarkYearofAward,GreenMarkRating,GreenMarkStatus,GrossFloorArea_M2,PercentageOfAirconditionedFloorArea,AverageMonthlyBuildingOccupancyRate_percentage,NumberOfHotelRooms,TypeOfAirconditioningSystem,AgeOfNewestChiller_Airconditioner,CentralisedAirconditioningPlantEfficiency_kWRT,YearOfLastChillerPlantAuditHealthCheck,PercentageUsageOfLED,InstallationOfSolarPV,EUI2015_kWhM2Yr,EUI2016_kWhM2Yr,EUI2017_kWhM2Yr,EUIPerformanceComparedToPreviousYear,Benchmarking_EUI_Quartile,VoluntaryDisclosure,BuildingAge,TotalEnergy2017
TIDES,"217 EAST COAST ROAD, SINGAPORE 428915",Retail Building,Small,No,2012,,Not Certified,No,2377,32,60,,"Others (Split Units, Unitary Systems)",31,,,35,N,150.2,135.4,144.4,Worsened,Top Quartile,Y,6,343238.8
,,Hotel,Small,,,,,No,,,,,,,,,,,241.5,253.8,211.5,Improved,2nd Quartile,N,,
THE STRATEGY,"2 INTERNATIONAL BUSINESS PARK, SINGAPORE 609930",Office Building,Large,No,2002,,Not Certified,No,67370,77,97,,Water Cooled Chilled Water Plant,14,1.1,2012,0,N,255.9,240.1,183.7,Improved,2nd Quartile,Y,16,12375869
THE SYNERGY,"1 INTERNATIONAL BUSINESS PARK, SINGAPORE 609917",Office Building,Large,No,1998,,Not Certified,No,41363,68,84,,Water Cooled Chilled Water Plant,18,1.27,2013,0,N,370.9,311.7,246.2,Improved,3rd Quartile,Y,20,10183570.6
SAMSUNG HUB,"3 CHURCH STREET, SINGAPORE 049483",Office Building,Large,No,2005,2014,GoldPlus,Yes,27562,98,94,,Water Cooled Chilled Water Plant,2,0.62,2014,90,N,277,222,178.2,Improved,2nd Quartile,Y,13,4911548.399999999
CHEVRON HOUSE,"30 RAFFLES PLACE, SINGAPORE 048622",Office Building,Large,No,1993,,Not Certified,No,37129,69,98,,Water Cooled Chilled Water Plant,6,,,25,N,246,258.2,242.5,Improved,3rd Quartile,Y,25,9003782.5
,,Healthcare Facility,,,,,,No,,,,,,,,,,,36.6,30.3,273.4,Worsened,,,,
GOLDHILL PLAZA,"1 GOLDHILL PLAZA, SINGAPORE 308899",Mixed Development,,No,1970,,Not Certified,No,7900,86,98,,"Others (Split Units, Unitary Systems)",6,,,0,N,501.8,503.9,433.9,Improved,Bottom Quartile,Y,48,3427810
,,Educational Institution,,,,,,No,,,,,,,,,,,278.5,276.4,264.3,Improved,,,,
ION ORCHARD,"2 ORCHARD TURN, SINGAPORE 238801",Retail Building,Large,No,2011,2007,Gold,Yes,87486,94,98,,Water Cooled Chilled Water Plant,8,0.73,2017,100,N,531.3,520.3,484.9,Improved,3rd Quartile,Y,7,42421961.4
GREAT WORLD CITY,"1 KIM SENG PROMENADE, SINGAPORE 237994",Retail Building,Large,No,1997,,Not Certified,No,135183,86,95,,Water Cooled Chilled Water Plant,7,0.68,2010,79,N,256.3,247.2,235.4,Improved,Top Quartile,Y,21,31822078.2
,,Hotel,Large,,,,,Yes,,,,,,,,,,,458,465.6,415.1,Improved,Bottom Quartile,N,,
NGEE ANN CITY TOWER A,"391A ORCHARD ROAD, SINGAPORE 238873",Mixed Development,,No,1993,2015,Platinum,Yes,175179,100,90,,Water Cooled Chilled Water Plant,1,0.62,2017,0,N,344.9,315,318.9,Worsened,3rd Quartile,Y,25,55864583.099999994
HOLLAND ROAD SHOPPING CENTRE,"211 HOLLAND AVENUE, SINGAPORE 278967",Retail Building,Small,No,1972,,Not Certified,No,7403,97,90,,Water Cooled Packaged Unit,,,,100,N,441.1,419,426.4,Worsened,3rd Quartile,Y,46,3156639.1999999997
STAMFORD COURT,"61 STAMFORD ROAD, SINGAPORE 178892",Office Building,Small,No,1996,,Not Certified,No,6832,93,90,,Air Cooled Chilled Water Plant,6,1.05,,0,N,249.6,286.1,270.2,Improved,Bottom Quartile,Y,22,1846006.4
HUB SYNERGY POINT,"70 ANSON ROAD, SINGAPORE 079905",Office Building,Small,No,1973,,Not Certified,No,10000,80,100,,Water Cooled Chilled Water Plant,9,,,85,N,174.2,198.2,182.6,Improved,2nd Quartile,Y,45,1826e3
,,Educational Institution,,,,,,No,,,,,,,,,,,80.2,83,75.4,Improved,,,,
,,Educational Institution,,,,,,No,,,,,,,,,,,97.7,96.8,93.5,Improved,,,,
,,Educational Institution,,,,,,No,,,,,,,,,,,36.5,46.3,41.5,Improved,,,,
,,Educational Institution,,,,,,No,,,,,,,,,,,167.7,184.5,184.6,Worsened,,,,
HOLIDAY INN EXPRESS SINGAPORE CLARKE QUAY,"2 MAGAZINE ROAD, SINGAPORE 059573",Hotel,Large,No,2014,2013,Platinum,Yes,11783,74,87,442,Water Cooled Chilled Water Plant,3,0.5,2016,66,N,258.3,266.1,263.8,Improved,2nd Quartile,Y,4,3108355.4
THE CRIMSON,"31 SCIENCE PARK ROAD, SINGAPORE 117611",Office Building,Small,No,1997,,Not Certified,No,11291,94,7,,Water Cooled Chilled Water Plant,1,0.7,2017,5,N,451.4,387.6,315.6,Improved,Bottom Quartile,Y,21,3563439.6
SCOTTS SQUARE,"6 SCOTTS ROAD, SINGAPORE 228209",Retail Building,Small,No,2011,,Not Certified,No,12161,92,95,,Water Cooled Chilled Water Plant,6,0.95,2013,20,N,450.7,467.6,471.3,Worsened,3rd Quartile,Y,7,5731479.3
CITY HOUSE,"36 ROBINSON ROAD, SINGAPORE 068877",Office Building,Large,No,1984,2013,Platinum,Yes,20180,64,100,,Water Cooled Chilled Water Plant,8,1.05,2013,10,N,136.7,147.2,134.4,Improved,Top Quartile,Y,34,2712192
SHANGRI-LA HOTEL,"22 ORANGE GROVE ROAD, SINGAPORE 258350",Hotel,Large,No,1972,,Not Certified,No,79709,84,97,747,Water Cooled Chilled Water Plant,18,0.72,2009,5,N,380.7,377.5,333,Improved,Bottom Quartile,Y,46,26543097
,,Educational Institution,,,,,,Yes,,,,,,,,,,,112.3,110.8,104,Improved,,,,
OCBC CENTRE SOUTH,"18 CHURCH STREET, SINGAPORE 049479",Office Building,Small,No,1986,2016,Gold,Yes,11047,80,100,,Water Cooled Chilled Water Plant,6,0.7,2016,30,N,362.3,375.8,383.8,Worsened,Bottom Quartile,Y,32,4239838.600000001
,"63 CHULIA STREET, SINGAPORE 049514",Office Building,Large,No,1996,2016,Gold,Yes,22518,80,100,,Water Cooled Chilled Water Plant,6,0.73,2016,40,N,195,199.6,196,Improved,3rd Quartile,Y,22,4413528
OCBC CENTRE,"65 CHULIA STREET, SINGAPORE 049513",Office Building,Large,No,1979,2016,Gold,Yes,75079,67,90,,Water Cooled Chilled Water Plant,6,0.79,2014,2,N,202.8,204.8,200.1,Improved,3rd Quartile,Y,39,15023307.9
,,Educational Institution,,,,,,No,,,,,,,,,,,48.2,61.9,62,Worsened,,,,
,,Healthcare Facility,,,,,,Yes,,,,,,,,,,,118.6,115.4,109,Improved,,,,
,,Healthcare Facility,,,,,,Yes,,,,,,,,,,,124.5,130.2,130.7,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,175.5,178.3,168.7,Improved,,,,
,,Educational Institution,,,,,,No,,,,,,,,,,,71.2,96.8,97,Worsened,,,,
YISHUN 10 CINEMA COMPLEX,"51 YISHUN CENTRAL 1, SINGAPORE 768794",Retail Building,Small,No,1992,,Not Certified,No,5574,90,100,,"Others (Split Units, Unitary Systems)",20,,,100,N,580.4,566.7,538.1,Improved,Bottom Quartile,Y,26,2999369.4
,,Educational Institution,,,,,,No,,,,,,,,,,,215,213.5,224.2,Worsened,,,,
CENTROPOD @ CHANGI,"80 CHANGI ROAD, SINGAPORE 419715",Office Building,Small,No,2015,,Not Certified,No,5874,34,20,,"Others (Split Units, Unitary Systems)",2,,,0,Y,56.1,127.4,145.6,Worsened,2nd Quartile,Y,3,855254.4
YELEY BUILDING,"730 UPPER SERANGOON ROAD, SINGAPORE 534613",Office Building,Small,No,1990,,Not Certified,No,282,100,100,,"Others (Split Units, Unitary Systems)",10,,,0,N,593.9,577.6,581.7,Worsened,Bottom Quartile,Y,28,164039.40000000002
THE SINGAPORE RESORT & SPA,"2 BUKIT MANIS ROAD, SINGAPORE 099891",Hotel,Large,No,1990,,Not Certified,No,13752,93,65,215,Water Cooled Chilled Water Plant,9,,,70,N,418.3,523.8,546.4,Worsened,Bottom Quartile,Y,28,7514092.8
,"41 SUNSET WAY, SINGAPORE 597071",Mixed Development,,No,1993,,Not Certified,No,3608,78,100,,"Others (Split Units, Unitary Systems)",20,,,87,N,329.2,359.8,343.5,Improved,3rd Quartile,Y,25,1239348
DAS SPEKTRUM@CBP,"9 CHANGI BUSINESS PARK VISTA, SINGAPORE 486041",Office Building,Small,No,2014,2017,Platinum,Yes,12767,81,95,,District Cooling Plant,5.35,,,44,N,146.1,149.2,158.1,Worsened,2nd Quartile,Y,4,2018462.7
SUN PLAZA,"30 SEMBAWANG DRIVE, SINGAPORE 757713",Retail Building,Large,No,1998,,Not Certified,No,21654,83,68,,Water Cooled Chilled Water Plant,3,0.67,2015,10,N,446.9,573.4,583,Worsened,Bottom Quartile,Y,20,12624282
TOWER FIFTEEN,"15 HOE CHIANG ROAD, SINGAPORE 089316",Office Building,Large,No,2011,,Not Certified,No,23546,93,95,17,Water Cooled Chilled Water Plant,1,,,60,N,196.4,174.1,164.6,Improved,2nd Quartile,Y,7,3875671.6
,,Office Building,Large,,,,,No,,,,,,,,,,,20.4,75.1,104.1,Worsened,Top Quartile,N,,
HOTEL CHANCELLOR @ ORCHARD,"28 CAVENAGH ROAD, SINGAPORE 229635",Hotel,Large,No,2015,2015,Certified,Yes,13742,92,75,488,"Others (Split Units, Unitary Systems)",1,,,20,N,185.6,321.4,279,Improved,3rd Quartile,Y,3,3834018
,"5 TAMPINES STREET 32, SINGAPORE 529284",Retail Building,Small,No,1996,,Not Certified,No,9900,68,95,,"Others (Split Units, Unitary Systems)",1,,,0,N,142.6,143.6,136.1,Improved,Top Quartile,Y,22,1347390
INFINITE STUDIOS,"21 MEDIA CIRCLE, SINGAPORE 138562",Office Building,Large,No,2014,2014,GoldPlus,Yes,20484,88,90,,Water Cooled Chilled Water Plant,3,0.64,,10,N,294.3,316.7,334.3,Worsened,Bottom Quartile,Y,4,6847801.2
THE SULTAN,"101 JALAN SULTAN, SINGAPORE 199002",Hotel,Small,No,2011,,Not Certified,No,2691,85,52,64,"Others (Split Units, Unitary Systems)",5,,,40,N,131.1,152.7,139.8,Improved,Top Quartile,Y,7,376201.80000000005
JK CENTRE,"291 JOO CHIAT ROAD, SINGAPORE 427543",Retail Building,Small,No,2011,,Not Certified,No,1253,100,52,,"Others (Split Units, Unitary Systems)",4,,,0,N,568.5,518.9,502.4,Improved,Bottom Quartile,Y,7,629507.2
BUNC HOSTEL,"15 UPPER WELD ROAD, SINGAPORE 207372",Hotel,Small,No,1926,,Not Certified,No,450,100,40,27,"Others (Split Units, Unitary Systems)",4,,,100,N,587.7,664.1,748.1,Worsened,Bottom Quartile,Y,92,336645
ORCHARD GATEWAY @ EMERALD,"218 ORCHARD ROAD, SINGAPORE 238851",Retail Building,Small,No,2014,2017,Gold,Yes,9700,86,88,,Air Cooled Chilled Water Plant,3,1.03,,63,N,298.7,277.8,302.6,Worsened,2nd Quartile,Y,4,2935220
,,Educational Institution,,,,,,Yes,,,,,,,,,,,267.8,270.9,258.3,Improved,,,,
SANDCRAWLER,"1 FUSIONOPOLIS VIEW, SINGAPORE 138577",Office Building,Large,No,2013,2013,Not Certified,No,22495,74,80,,District Cooling Plant,8,,,10,N,272.1,288.7,291.6,Worsened,Bottom Quartile,Y,5,6559542.000000001
MACPHERSON MALL,"401 MACPHERSON ROAD, SINGAPORE 368125",Mixed Development,,No,2016,2016,Certified,Yes,13284,75,80,298,Water Cooled Chilled Water Plant,2,0.8,2017,99,N,13,173.9,193.1,Worsened,Top Quartile,Y,2,2565140.4
WAH-CHANG HOUSE,"211 UPPER BUKIT TIMAH ROAD, SINGAPORE 588182",Office Building,Small,No,1990,,Not Certified,No,1968,96,69,,"Others (Split Units, Unitary Systems)",20,,,8,N,179.7,164.6,156.7,Improved,2nd Quartile,Y,28,308385.6
BEDS AND DREAMS INN @ CLARKE QUAY,"38 HONGKONG STREET, SINGAPORE 059677",Hotel,Small,No,1942,,Not Certified,No,538,100,100,13,"Others (Split Units, Unitary Systems)",0,,,0,N,202,196.1,211.5,Worsened,2nd Quartile,Y,76,113787
,,Healthcare Facility,,,,,,Yes,,,,,,,,,,,214.3,276,269.9,Improved,,,,
,,Office Building,Large,,,,,No,,,,,,,,,,,203.8,180.4,180,Improved,2nd Quartile,N,,
,,Educational Institution,,,,,,Yes,,,,,,,,,,,161,162,157.9,Improved,,,,
CIVIL SERVICE COLLEGE,"31 NORTH BUONA VISTA ROAD, SINGAPORE 275983",Office Building,Small,Yes,1999,,Not Certified,No,12709,75,100,,Water Cooled Chilled Water Plant,18,1.55,2012,0,N,189.7,195.3,183,Improved,2nd Quartile,Y,19,2325747
,,Healthcare Facility,,,,,,Yes,,,,,,,,,,,382.1,408,376.8,Improved,,,,
YEN SAN BUILDING,"268 ORCHARD ROAD, SINGAPORE 238856",Retail Building,Large,No,2014,,Not Certified,No,16971,95,30,,Water Cooled Chilled Water Plant,3,0.79,2016,20,N,92.7,127.3,117.2,Improved,Top Quartile,Y,4,1989001.2
THE METROPOLIS,"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",Office Building,Large,No,2013,2013,Platinum,Yes,100096,100,100,,Water Cooled Chilled Water Plant,4,0.57,2017,20,Y,205.1,213.6,211.1,Improved,3rd Quartile,Y,5,21130265.599999998
,,Office Building,Large,,,,,Yes,,,,,,,,,,,201.1,201.9,195.4,Improved,3rd Quartile,N,,
,,Office Building,Large,,,,,Yes,,,,,,,,,,,2.2,25.9,119.5,Worsened,Top Quartile,N,,
COMCENTRE,"31 EXETER ROAD, SINGAPORE 239732",Office Building,Large,No,1981,,Not Certified,No,119552,69,100,,Water Cooled Chilled Water Plant,6,0.72,2014,20,N,373.8,375.8,346.5,Improved,Bottom Quartile,Y,37,41424768
,,Healthcare Facility,,,,,,No,,,,,,,,,,,49.8,55.7,54.8,Improved,,,,
HOTEL ROYAL,"36 NEWTON ROAD, SINGAPORE 307964",Hotel,Large,No,1970,,Not Certified,No,23500,31,87,359,Water Cooled Chilled Water Plant,20,,,72,N,230,218.7,220.7,Worsened,Top Quartile,Y,48,5186450
,"142 NEIL ROAD, SINGAPORE 088871",Office Building,Small,No,1945,,Not Certified,No,532,94,95,,"Others (Split Units, Unitary Systems)",12,,,0,N,147.4,122.4,105.9,Improved,Top Quartile,Y,73,56338.8
MARRISON HOTEL,"103 BEACH ROAD, SINGAPORE 189704",Hotel,Small,No,1999,,Not Certified,No,1998,97,86,96,"Others (Split Units, Unitary Systems)",5,,,0,N,402.7,416.9,391.1,Improved,Bottom Quartile,Y,19,781417.8
,,Office Building,Small,,,,,No,,,,,,,,,,,200.5,205.3,187,Improved,2nd Quartile,N,,
,,Office Building,Small,,,,,No,,,,,,,,,,,240,255.3,151.5,Improved,2nd Quartile,N,,
MYP CENTRE,"9 BATTERY ROAD, SINGAPORE 049910",Office Building,Large,No,2009,2016,Gold,Yes,18565,80,100,,"Others (Split Units, Unitary Systems)",9,,,0,N,215.5,217.8,200.8,Improved,3rd Quartile,Y,9,3727852
MYP PLAZA,"135 CECIL STREET, SINGAPORE 069536",Office Building,Small,No,2007,,Not Certified,No,9374,81,92,,"Others (Split Units, Unitary Systems)",9,,,0,N,172.3,183.7,168.4,Improved,2nd Quartile,Y,11,1578581.6
ERH BUILDING,"110 ROBINSON ROAD, SINGAPORE 068901",Office Building,Small,No,1990,,Not Certified,No,2066,65,92,,Water Cooled Chilled Water Plant,2,,,0,N,101.8,100.9,107.1,Worsened,Top Quartile,Y,28,221268.59999999998
,"18 ATTAP VALLEY ROAD, SINGAPORE 759910",Office Building,Small,Yes,2001,,Not Certified,No,3062,90,100,,"Others (Split Units, Unitary Systems)",5,,,0,N,105.8,101.2,101.9,Worsened,Top Quartile,Y,17,312017.8
WAVELINK BUILDING,"75 JELLICOE ROAD, SINGAPORE 208738",Office Building,Small,No,1996,,Not Certified,No,1331,85,80,,"Others (Split Units, Unitary Systems)",16,,,40,N,241.4,259.3,246,Improved,3rd Quartile,Y,22,327426
CERTIS CISCO CENTRE,"20 JALAN AFIFI, SINGAPORE 409179",Office Building,Large,No,1986,,Not Certified,No,27810,69,95,,Water Cooled Chilled Water Plant,11,0.8,2015,0,N,365.9,367,362.7,Improved,Bottom Quartile,Y,32,10086687
AMARA SINGAPORE,"165 TANJONG PAGAR ROAD, SINGAPORE 088539",Mixed Development,,No,1998,,Not Certified,No,49949,86,90,384,Water Cooled Chilled Water Plant,0,0.65,2016,50,N,413.4,416.2,361.7,Improved,Bottom Quartile,Y,20,18066553.3
INTERNATIONAL PLAZA,"10 ANSON ROAD, SINGAPORE 079903",Office Building,Large,No,1976,2012,GoldPlus,Yes,107758,95,85,,Water Cooled Chilled Water Plant,1,0.66,2016,16,N,187.8,187.7,172.4,Improved,2nd Quartile,Y,42,18577479.2
"LOT ONE, SHOPPERS MALL","21 CHOA CHU KANG AVENUE 4, SINGAPORE 689812",Retail Building,Large,No,1996,2012,Gold,Yes,30405,100,99,,Water Cooled Chilled Water Plant,1,0.71,2015,60,N,591.4,598.9,573.5,Improved,Bottom Quartile,Y,22,17437267.5
,,Healthcare Facility,,,,,,No,,,,,,,,,,,201.6,231.7,234.1,Worsened,,,,
THE PLAZA,"7500A BEACH ROAD, SINGAPORE 199591",Mixed Development,,No,1983,,Not Certified,No,72925,93,80,872,Water Cooled Chilled Water Plant,0,0.57,2017,85,N,279.9,283,243.7,Improved,2nd Quartile,Y,35,17771822.5
KATONG POINT,"451 JOO CHIAT ROAD, SINGAPORE 427664",Retail Building,Small,No,2016,2013,Certified,Yes,4247,100,29,,"Others (Split Units, Unitary Systems)",1,,,43,N,47.8,78.7,143.7,Worsened,Top Quartile,Y,2,610293.8999999999
MING ARCADE,"21 CUSCADEN ROAD, SINGAPORE 249720",Retail Building,Small,No,1983,,Not Certified,No,5338,94,85,,Air Cooled Chilled Water Plant,7,,,0,N,256.8,244.7,238,Improved,2nd Quartile,Y,35,1270444
TRAVELLERS LOFT @ JALAN BESAR,"290 JALAN BESAR, SINGAPORE 208953",Hotel,Small,No,1924,,Not Certified,No,557,100,50,13,"Others (Split Units, Unitary Systems)",5,,,80,N,328.1,431.1,492.1,Worsened,Bottom Quartile,Y,94,274099.7
SEAGATE SINGAPORE DESIGN CENTER - THE SHUGART,"26 AYER RAJAH CRESCENT, SINGAPORE 139944",Office Building,Large,No,2014,2015,Platinum,Yes,40880,86,99,,District Cooling Plant,2,,,3,Y,375.4,478,472.6,Improved,Bottom Quartile,Y,4,19319888
PAN PACIFIC ORCHARD,"10 CLAYMORE ROAD, SINGAPORE 229540",Hotel,Large,No,1992,,Not Certified,No,16599,97,82,206,Water Cooled Chilled Water Plant,8,0.55,2017,70,N,301.3,289.7,302.7,Worsened,3rd Quartile,Y,26,5024517.3
YORK HOTEL,"21 MOUNT ELIZABETH, SINGAPORE 228516",Hotel,Large,No,1971,2016,Gold,Yes,31184,87,85,407,Water Cooled Chilled Water Plant,1,,,55,N,161.8,142.1,139.6,Improved,Top Quartile,Y,47,4353286.399999999
,,Educational Institution,,,,,,No,,,,,,,,,,,224.5,51.9,24.9,Improved,,,,
,,Hotel,Small,,,,,No,,,,,,,,,,,271.2,269.1,245.5,Improved,2nd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,58.3,251,239.9,Improved,2nd Quartile,N,,
,"50 NORTH CANAL ROAD, SINGAPORE 059304",Office Building,Small,No,2011,2011,Certified,Yes,4625,80,100,,Water Cooled Packaged Unit,,,,0,N,506.6,477.2,478.9,Worsened,Bottom Quartile,Y,7,2214912.5
LIBERTY HOUSE,"51 CLUB STREET, SINGAPORE 069428",Office Building,Small,No,2011,,Not Certified,No,2093,100,100,,"Others (Split Units, Unitary Systems)",5,,,3,N,286.6,319.6,302.6,Improved,Bottom Quartile,Y,7,633341.8
CARLTON HOTEL,"76 BRAS BASAH ROAD, SINGAPORE 189558",Hotel,Large,No,1987,,Not Certified,No,59329,97,90,940,Water Cooled Chilled Water Plant,15,,,70,N,311.8,312.3,295.1,Improved,3rd Quartile,Y,31,17507987.900000002
THE STAR,"1 VISTA EXCHANGE GREEN, SINGAPORE 138617",Retail Building,Large,No,2012,2009,Gold,Yes,62000,65,90,,Water Cooled Chilled Water Plant,5,0.74,,40,N,364.7,347.7,350.8,Worsened,2nd Quartile,Y,6,21749600
,,Mixed Development,,,,,,No,,,,,,,,,,,530.2,538.1,531.4,Improved,Bottom Quartile,N,,
,,Retail Building,Large,,,,,No,,,,,,,,,,,154.9,155.9,147.4,Improved,Top Quartile,N,,
,,Hotel,Large,,,,,No,,,,,,,,,,,316.3,335.7,343.8,Worsened,Bottom Quartile,N,,
,"22 CAVENAGH ROAD, SINGAPORE 229617",Hotel,Large,No,2015,2015,Certified,Yes,8140,96,75,263,"Others (Split Units, Unitary Systems)",2,,,20,N,64.5,355.7,308.4,Improved,3rd Quartile,Y,3,2510376
PARKROYAL ON PICKERING,"3 UPPER PICKERING STREET, SINGAPORE 058289",Hotel,Large,No,2012,2012,Platinum,Yes,29227,77,80,367,Water Cooled Chilled Water Plant,3,0.65,,60,N,293.5,307.6,302.3,Improved,3rd Quartile,Y,6,8835322.1
,,Educational Institution,,,,,,No,,,,,,,,,,,190.7,205.2,197.4,Improved,,,,
,,Office Building,Small,,,,,No,,,,,,,,,,,190.7,198.9,149.6,Improved,2nd Quartile,N,,
TAMAN JURONG SHOPPING CENTRE,"399 YUNG SHENG ROAD, SINGAPORE 610399",Retail Building,Small,Yes,1996,2013,Gold,Yes,11820,66,100,,"Others (Split Units, Unitary Systems)",5,,,3,N,400.9,412.3,402.4,Improved,3rd Quartile,Y,22,4756368
NEW BRIDGE CENTRE,"336 SMITH STREET, SINGAPORE 050336",Office Building,Small,Yes,1987,,Not Certified,No,10678,84,100,,Water Cooled Chilled Water Plant,11,,,70,N,257.2,264.9,248.4,Improved,3rd Quartile,Y,31,2652415.2
KITCHENER COMPLEX,"809 FRENCH ROAD, SINGAPORE 200809",Mixed Development,,Yes,1986,,Not Certified,No,26881,37,60,,"Others (Split Units, Unitary Systems)",2,,,40,N,102.6,115.4,129.4,Worsened,Top Quartile,Y,32,3478401.4000000004
SHAW TOWERS,"100 BEACH ROAD, SINGAPORE 189702",Office Building,Large,No,1975,,Not Certified,No,43367,70,94,,Water Cooled Chilled Water Plant,18,,,20,N,230.3,234.2,248.6,Worsened,3rd Quartile,Y,43,10781036.2
ANN SIANG 47,"47 ANN SIANG ROAD, SINGAPORE 069720",Office Building,Small,No,1978,,Not Certified,No,980,78,100,,Water Cooled Packaged Unit,,,,0,N,432,423.3,420.2,Improved,Bottom Quartile,Y,40,411796
,,Office Building,Small,,,,,Yes,,,,,,,,,,,195.2,207.6,197.8,Improved,3rd Quartile,N,,
,,Office Building,Large,,,,,Yes,,,,,,,,,,,159.1,162.1,169.2,Worsened,2nd Quartile,N,,
,,Retail Building,Large,,,,,Yes,,,,,,,,,,,310.4,347.6,352,Worsened,2nd Quartile,N,,
,,Office Building,Small,,,,,No,,,,,,,,,,,159.6,162.9,164.6,Worsened,2nd Quartile,N,,
,,Educational Institution,,,,,,No,,,,,,,,,,,2882.5,2676.6,2602.4,Improved,,,,
,,Hotel,Small,,,,,No,,,,,,,,,,,25.4,43.6,37.9,Improved,Top Quartile,N,,
BENDEMEER VILLE,"27 BENDEMEER ROAD, SINGAPORE 330027",Retail Building,Small,No,1971,,Not Certified,No,2070,48,100,,"Others (Split Units, Unitary Systems)",10,,,0,N,712.2,727.5,719.8,Improved,Bottom Quartile,Y,47,1489986
WOH HUP BUILDING,"217 UPPER BUKIT TIMAH ROAD, SINGAPORE 588185",Office Building,Small,No,2011,2017,Platinum,Yes,1980,80,95,,"Others (Split Units, Unitary Systems)",6,0.75,2017,0,Y,157.4,162.3,158.7,Improved,2nd Quartile,Y,7,314226
,,Educational Institution,,,,,,Yes,,,,,,,,,,,192.4,209.3,199.3,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,234.8,231.8,223.9,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,160.1,146,170.4,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,135.7,150.1,150.4,Worsened,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,102.7,91.7,89.5,Improved,,,,
,,Healthcare Facility,,,,,,No,,,,,,,,,,,74.2,76.3,83,Worsened,,,,
,,Retail Building,Small,,,,,No,,,,,,,,,,,1601.7,1604.1,1537.3,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,303.3,249.7,381.8,Worsened,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,406.1,428.3,455.6,Worsened,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,423.9,379.3,327.7,Improved,3rd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,449.9,436.2,425.8,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,237.4,234.7,258.1,Worsened,3rd Quartile,N,,
,,Hotel,Small,,,,,Yes,,,,,,,,,,,224.3,272.5,258.8,Improved,3rd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,343.9,415.8,397.2,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,309.1,244.6,310.2,Worsened,3rd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,339.3,364.8,394,Worsened,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,367.7,365.8,359.8,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,238.6,216.1,219.4,Worsened,2nd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,280.6,291.2,288.3,Improved,3rd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,511.8,512.5,512.1,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,338.5,322.8,348.2,Worsened,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,417.5,430,384.9,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,350,368.9,365.1,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,488.8,462.5,444.9,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,501,493.1,466.6,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,201.9,196.2,185.9,Improved,2nd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,322.9,308.9,294.3,Improved,3rd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,284.2,275.1,277.3,Worsened,3rd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,367.2,355.1,320.8,Improved,3rd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,351.1,372.4,373.9,Worsened,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,552.7,519.6,509.7,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,393.7,409.8,419.6,Worsened,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,383.7,404.2,375.2,Improved,Bottom Quartile,N,,
